animal,pre,post
0.0,2.400369278166485,2.457772090137135
0.0,1.4535879318813438,2.487298018187149
0.0,1.9220379120352438,2.4636900655549954
0.0,1.8453643037690464,1.6455860252382477
0.0,1.684957844028188,2.1519206567610323
0.0,2.4956107748637946,2.4618037564016153
1.0,3.2366488454462523,2.8710007042562817
1.0,1.8668130423339258,2.7240402268146235
1.0,3.0290053938578057,3.6640710410111286
1.0,2.366682193413839,3.1783464071936427
1.0,1.8607070444565843,2.514671731038397
1.0,1.6853419894899266,2.472177603099727
2.0,2.044706963941013,2.7245091976318925
2.0,1.6215187140046883,2.400125536464926
2.0,1.0767631077164468,2.2911322187551724
2.0,2.1617361735892024,1.163038008104911
2.0,1.5953532913210378,2.2977055607449586
2.0,1.6656455343776386,2.4729360236745643
3.0,2.029374464018129,2.1323576461891967
3.0,2.9249180748315897,3.0860637359008822
3.0,2.558349084300852,3.2685093642795615
3.0,2.381901127352349,3.0967759093875658
3.0,2.9191879865351855,3.726980242233657
3.0,2.953550622375088,3.1345165217208506
4.0,1.1683082153874929,1.8062862949985072
4.0,2.225849317857816,2.6180526106343063
4.0,2.1564218351279933,2.7099156153067288
4.0,1.5574569966607992,2.1851684753911753
4.0,1.9177975022272704,2.421371165357405
4.0,1.3345655822183002,2.5261957304098885
5.0,2.2425580227670574,2.5313619952698376
5.0,1.3610312260850126,1.9815728729382955
5.0,2.041601105786048,3.2192780257746048
5.0,2.417126106338305,2.469600483429563
5.0,2.4983188368612033,3.5715851102978196
5.0,1.4154270836274976,2.6548096010233704
6.0,3.392659522097749,3.7714764173937447
6.0,3.614033776646681,2.5871145323681892
6.0,2.506424109638316,3.735465189025812
6.0,2.675146788432329,3.7507773569075566
6.0,2.0583613158086345,2.86641613501279
6.0,3.163880442427909,3.785947871929545
7.0,2.837477900548876,3.369823995927634
7.0,2.2212113009609746,3.5196893718364812
7.0,2.853603847538894,2.361451165797181
7.0,2.9535331497627126,2.1021582699947006
7.0,2.2948810445383643,3.251746530670691
7.0,2.465360664655365,3.329747610046306
8.0,1.9734428974580196,3.1892594754221997
8.0,2.2206710200407374,3.0204745547823273
8.0,2.327937396750098,3.3683179125560954
8.0,1.6913678534398235,2.849772138990533
8.0,2.734389510190229,3.83375864654441
8.0,2.0283324566941734,3.1871678725449732
9.0,1.737866686106815,2.7084946838448265
9.0,2.7421326648878925,3.3062633209214547
9.0,1.719631909455886,2.370491589686813
9.0,2.945638639259481,2.377396455595059
9.0,1.8379093280771637,2.4997145377715255
9.0,2.6186545064874966,3.55962577332194
